,syllables,meaningful,pseudo
syllables,0.4087733328342438,0.3052111268043518,0.27108293771743774
meaningful,0.40740904211997986,0.30051150918006897,0.27724069356918335
pseudo,0.4352402687072754,0.28378647565841675,0.2675541341304779
