,syllables,meaningful,pseudo
syllables,0.048362940549850464,0.07284057140350342,0.04185512289404869
meaningful,0.040350012481212616,0.063600093126297,0.03931248560547829
pseudo,0.04344600811600685,0.06385281682014465,0.037755995988845825
