arm,accuracy,f1,auroc,ece,brier
gaze_only,0.8291666666666666,0.8051587301587302,0.8614583333333334,0.1695459968111095,0.16865421169265016
naive_aligned,1.0,1.0,1.0,0.003966768940759429,3.2471373066563584e-05
honest_aligned,1.0,1.0,1.0,0.11475446171659424,0.01573435544679305
naive_random,0.8583333333333334,0.8393650793650792,0.8923611111111113,0.14334201593872092,0.13982406713249776
honest_random,0.8291666666666666,0.8051587301587302,0.875,0.14714979656194427,0.14797424553352753
