feature,mean_slope_dyslexic,mean_slope_typical,cohens_d_slope
regression_ratio,0.01246793562937799,0.006764891223980265,0.21511226646628942
fix_count,76.0285714285714,41.98571428571427,1.05434122509375
mean_fix_dur,75.14867577512798,56.07671508695943,0.33518620067846583
total_read_time_ms,73433.24454285712,33346.11862857144,1.4445605664019512
std_fix_dur,52.13359555666205,54.61878338663667,-0.04404956948259519
median_fix_dur,58.69004285717919,33.260200000008595,0.5060938063992322
total_fix_dur_ms,70524.71808571446,32179.20672857131,1.436298964300606
fixation_rate_hz,-0.16990647568441863,-0.2099465637617571,0.2690889559117956
mean_fix_disp,0.046278623420006666,0.029158802444724862,0.2684874099799484
sacc_count,76.0285714285714,41.98571428571427,1.05434122509375
mean_sacc_ampl,-33.42291093885086,-36.939562202649796,0.4708391683219464
std_sacc_ampl,-28.783248033132267,-25.86826805600105,-0.1957913120269185
mean_sacc_dur,-1.086947020580627,-1.6392125612350912,0.16837788230955752
mean_sacc_peak_vel,-13.777438554211114,-57.99929102090196,0.35268854894723556
mean_sacc_avg_vel,-14.252771936631541,-21.67750480043125,0.3190968018013275
regression_count,24.57142857142857,9.485714285714284,0.9436213724337358
within_line_regression_count,18.21428571428571,8.628571428571426,0.7568157514454319
between_line_regression_count,6.357142857142855,0.8571428571428561,0.8906558111937334
return_sweep_count,1.8857142857142846,-0.842857142857144,0.7768323286429246
progressive_count,41.414285714285704,29.871428571428567,0.7775331426489634
